Frame,x1,y1,x2,y2,Confidence
871,929,74,1260,1059,0.41015419363975525
871,1356,38,1920,1017,0.31333860754966736
871,779,116,1257,1057,0.2614341378211975
872,12,154,676,1074,0.31755685806274414
873,1551,39,1920,1038,0.7899531126022339
873,1,153,686,1046,0.7614635229110718
873,763,144,1061,1042,0.4553556442260742
874,1647,42,1918,1080,0.5990474820137024
874,1255,36,1669,1062,0.2735635042190552
875,1386,31,1920,1056,0.897308349609375
875,1045,68,1319,1045,0.5951996445655823
876,1528,39,1920,1080,0.8688809871673584
876,228,143,1092,1057,0.7349608540534973
876,0,124,146,1080,0.5860080718994141
877,0,36,458,1048,0.9357213377952576
877,1462,43,1920,1041,0.8973665833473206
877,546,147,1362,1046,0.7786608338356018
878,463,147,848,1080,0.540855884552002
878,48,145,838,1073,0.4281601905822754
878,1196,34,1916,1057,0.408128023147583
878,3,70,369,1069,0.3901822865009308
879,2,85,314,1038,0.8036640882492065
879,1280,32,1914,1030,0.7763391137123108
879,394,160,760,1065,0.4368303716182709
880,1004,25,1608,1051,0.8998435735702515
880,0,133,584,1032,0.8713163733482361
880,1681,35,1920,1036,0.7328377962112427
880,668,318,938,1054,0.3532807230949402
881,1,133,594,1032,0.7895304560661316
881,1052,19,1761,1063,0.6729039549827576
881,692,321,970,1056,0.3986096680164337
882,15,153,657,1037,0.4503929316997528
883,1,137,658,1029,0.8774545788764954
883,726,267,1057,1040,0.7833814024925232
883,1467,21,1920,1080,0.41720423102378845
884,719,247,1059,1042,0.7966555953025818
884,0,148,645,1031,0.7572929263114929
885,685,151,1038,1051,0.879613995552063
885,0,139,596,1026,0.819934070110321
885,1338,22,1919,1080,0.3676755726337433
886,0,140,574,1029,0.9586378931999207
886,660,153,1056,1066,0.9198885560035706
887,0,140,543,1025,0.9771740436553955
887,616,155,1053,1066,0.5508789420127869
888,606,152,1054,1078,0.9147797226905823
888,2,127,492,1031,0.675129234790802
888,1577,17,1919,1080,0.2703702449798584
889,607,173,1052,1063,0.7833279967308044
889,1,103,527,1033,0.7647518515586853
890,0,111,468,1030,0.8515801429748535
890,657,211,1159,1058,0.7937608957290649
891,1315,25,1917,1080,0.8638103008270264
891,13,152,718,1030,0.4449182450771332
891,737,227,1240,1040,0.40039536356925964
892,1338,65,1918,1080,0.9895402789115906
892,717,178,1265,1065,0.7656742930412292
892,1,124,465,1080,0.7655044794082642
893,1345,43,1916,1080,0.9782989025115967
893,0,114,374,1067,0.7289879322052002
893,473,181,622,1080,0.6171421408653259
893,726,187,1268,1050,0.6088160276412964
894,1354,55,1916,1080,0.9742072224617004
894,748,171,1272,1077,0.852985143661499
894,378,180,585,1080,0.6898767948150635
895,1369,53,1917,1080,0.9675484299659729
895,144,163,521,1080,0.9070191383361816
895,720,169,1297,1060,0.9042928218841553
896,1391,56,1919,1080,0.9824209809303284
896,545,189,1305,1080,0.9760101437568665
896,0,159,430,1080,0.9536172747612
897,425,187,1178,1080,0.9913672804832458
897,1423,50,1920,1080,0.9865960478782654
897,0,160,300,1080,0.8067755103111267
898,1455,45,1920,1080,0.9714494943618774
898,587,185,1224,1080,0.9363076686859131
899,510,183,1288,1080,0.9587642550468445
899,1508,39,1920,1080,0.9535681009292603
899,0,150,365,1061,0.6185733675956726
900,345,194,1136,1080,0.9895890951156616
900,1569,36,1919,1080,0.929071843624115
901,13,189,1518,1080,0.8477258682250977
901,1663,36,1919,1080,0.8267708420753479
902,14,183,1151,1080,0.9329530596733093
902,1410,73,1668,1060,0.642501711845398
903,7,182,1198,1080,0.9713630676269531
903,1361,62,1651,1076,0.6229464411735535
903,1746,50,1919,1080,0.4999788999557495
903,1148,164,1288,1080,0.3555550277233124
904,4,161,951,1070,0.956416130065918
904,1262,85,1589,1061,0.5665349960327148
904,1699,53,1920,1068,0.4784766137599945
904,1044,163,1203,1080,0.41644060611724854
905,9,151,864,1080,0.9664957523345947
905,1214,79,1616,1053,0.870827317237854
905,1715,58,1917,1054,0.40551435947418213
905,948,159,1127,1080,0.3895081579685211
906,2,177,799,1080,0.990547239780426
906,1223,80,1738,1051,0.93923020362854
907,3,158,690,1080,0.9900892972946167
907,781,87,1752,1042,0.9693871140480042
907,1130,71,1758,1035,0.45128682255744934
908,1057,93,1842,1041,0.9692989587783813
908,7,158,639,1080,0.9550183415412903
908,710,158,982,1078,0.48730501532554626
909,1,151,599,1080,0.9850767254829407
909,1251,50,1912,1026,0.8229235410690308
909,680,162,1184,1080,0.3285609781742096
910,2,160,599,1080,0.9808223843574524
910,1401,63,1919,1033,0.5601716041564941
911,6,156,619,1080,0.9813293218612671
911,1327,41,1916,1035,0.8978490233421326
911,693,155,1244,1080,0.36294040083885193
912,1,158,592,1080,0.9785272479057312
912,1317,36,1915,1036,0.5221269726753235
913,4,156,562,1049,0.926967978477478
913,641,271,1175,1070,0.5689369440078735
913,1293,37,1914,1042,0.4090900719165802
914,1,113,567,1036,0.9392226338386536
914,1308,50,1919,1046,0.2732994854450226
915,1,129,630,1032,0.7555371522903442
915,1348,107,1917,1044,0.7507897019386292
916,1363,27,1919,1060,0.6144698858261108
916,9,152,730,1030,0.4353090226650238
